I think Mac computers are better than Windows ones.|Je pense que les ordis Mac sont meilleurs que ceux Windows.
Bikes make less pollution than cars.|Le vélo, cela fait moins de pollution de la voiture.
Comment faire une comparaison entre deux choses?|plus/moins/aussi + \textit{adjectif} + que\\~\\plus de/moins de/autant de + \textit{nom} + que
Today, there is more pollution than before.|Aujourd'hui, il y a plus de pollution qu’avant.
Comment on dit plutôt que <<plus bon(ne)(s)>>?|meilleur(e)(s)\\~\\Utilisent avec les noms: La cuisine de mon mari est meilleure que la mienne.
Comment on dit plutôt que <<plus bien>>?|mieux\\~\\Utilisent avec les verbes: Mon mari cuisine mieux que moi.
Climbing is more interesting than weight lifting.|L'escalade est plus intéressant que la muscu.
One is just as dangerous as the other.|L'un est (tout) aussi dangereux que l'autre.
Both are equally trivial.|Les deux sont également triviaux.\\~\\Les deux sont tout aussi triviaux.
Please place your waste at the curb no earlier than 6 a.m. and no later than 8 a.m. on your collection day.|Veuillez déposer vos déchets en bordure de rue au plus tôt à 6h et au plus tard à 8h le jour de votre collecte.
