Que signifie 'fondre' ?|Se transformer de solide à liquide par la chaleur. Ex: La neige fond au printemps.
Comment dit-on 'to faint' en français ?|S'évanouir
Que signifie 'le songe' ?|Le rêve
Que signifie 'songer à faire quelque chose' ?|Réfléchir, avoir le projet ou l'idée de faire quelque chose
Comment dit-on 'rocky' (plein de rochers) ?|Rocheux
Comment dit-on 'fine sand' ?|Le sable fin
Que signifie 'être frileux' ?|Être sensible au froid, avoir facilement froid
Comment dit-on 'amusement park' ?|Un parc d'attractions
Que signifie 'un emmerdeur' (familier) ?|Une personne qui dérange, qui embête les autres
Comment dit-on 'to push from the platform' ?|Pousser du quai
Que signifie 'J'ai à faire' ?|J'ai des choses à faire, je suis occupé
Comment exprime-t-on 'without having to' ?|Sans avoir à (ex: sans avoir à attendre)
Que signifie 'Faut que je' (familier) ?|Il faut que je, I have to
Comment dit-on 'whatever it is' ?|Quoi que ce soit
Comment exprimer 'whether... or' ?|Que ce soit... ou / Soit... ou
Comment dit-on 'to fall asleep' ?|S'endormir
Que sont les 'boules Quies' ?|Des bouchons d'oreilles pour dormir
Comment dit-on 'I'm afraid I won't hear the alarm' ?|J'ai peur de ne pas entendre l'alarme
Comment dit-on 'passenger' ?|Un passager
Comment dit-on 'on foot' ?|À pied
Comment dit-on 'beggars' ?|Les mendiants
Comment dit-on 'to beg' ?|Mendier
Que signifie 'un mot transparent' ?|Un mot dont le sens est facile à deviner (comme en anglais)
Comment dit-on 'sheet music' ?|Une partition
Que signifie 'galérer' ?|Avoir des difficultés
Comment dit-on 'to be in trouble' ?|Être en galère
Que signifie 'ça file droit' ?|Ça va très bien, ça marche bien
Que signifie 'un weeb' ?|Un passionné de culture japonaise (argot internet)
Comment dit-on 'cultured, educated' ?|Cultivé
Comment dit-on 'aware, conscious' ?|Conscient
Comment dit-on 'capitalization' ?|La capitalisation
Comment dit-on 'locksmith' ?|Un serrurier
Que signifie 'serrurerie' ?|L'art ou le commerce du serrurier
Comment dit-on 'presumptuous' ?|Présomptueux (pas présompteux)
Que signifie 'recevable' ?|Acceptable, valable. Ex: une excuse recevable
Comment dit-on 'selfish' ?|Égoïste
Que signifie 'un encadrement' ?|Une supervision, un accompagnement
Comment dit-on 'ALS' en français ?|La maladie de Charcot (ou SLA - sclérose latérale amyotrophique)
Comment dit-on 'ashes' ?|Les cendres (féminin)
Comment dit-on 'to cremate' ?|Incinérer
Comment dit-on 'depressed' ?|Dépressif
Quel est le pluriel de 'égal' ?|Égaux
Que signifie 'une déformation professionnelle' ?|Une habitude acquise par son métier qui influence le comportement
Quel est le pluriel de 'loyal' ?|Loyaux
Comment dit-on 'earplugs' ?|Les bouchons d'oreilles
Comment dit-on 'fan' (ventilateur) familièrement ?|Un ventilo
Comment dit-on 'odor/smell' ?|L'odeur (f) / une odeur
Comment dit-on 'curtain' ?|Un rideau
Comment dit-on 'to damage' ?|Abîmer
Que signifie 'galérer' et 'la galère' ?|Galérer = avoir des difficultés ; la galère = situation difficile
Que signifie 'c'est éclaté au sol' (argot) ?|C'est nul, c'est mauvais
Que signifie 'nul à chier' (vulgaire) ?|Très mauvais, nul
Comment dit-on 'chaos' ?|Le chaos
Comment dit-on 'bat' ?|Une chauve-souris
Que signifie 'capacité de combinaison' ?|La capacité à combiner des éléments
Comment dit-on 'to blow' ?|Souffler
Que signifie 'j'ai eu l'occasion de leur enseigner' ?|J'ai pu leur enseigner, j'ai trouvé l'opportunité de leur enseigner
Comment dit-on 'fall' ?|La chute
Comment dit-on 'lampshade' ?|Un abat-jour
Comment dit-on 'martial arts' ?|Les arts martiaux
Comment dit-on 'I used to do it' ?|J'en faisais
Conjuguez 'faire' au subjonctif présent avec 'il veut que je...' ?|Il veut que je fasse
Conjuguez 'faire' au subjonctif imparfait avec 'il voulait que je...' ?|Il voulait que je fisse
Comment dit-on 'nunchaku' ?|Un nunchaku
Comment dit-on 'stiff, rigid' ?|Raide, rigide
Comment dit-on 'muscle strain' ?|Une élongation
Comment dit-on 'pulled muscle' ?|Un claquage
Comment dit-on 'muscle soreness' ?|La courbature
Comment dit-on 'to have sore muscles in...' ?|Avoir des courbatures à...
Comment dit-on 'badge' ?|Un badge
Quelle est l'erreur avec 'malgré que' ?|Erreur un peu acceptée : malgré que (correct : bien que)
Quelle est l'erreur avec 'si j'aurais' ?|Erreur : si j'aurais (correct : si j'avais)
Quelle est l'erreur avec 'après que + subjonctif' ?|Erreur 'normale' : après que + subjonctif (correct : après que + indicatif)
Comment dit-on 'direct' ?|Direct
Comment dit-on 'redundant' ?|Redondant
Qu'est-ce que 'le gallo' ?|Une langue régionale de Bretagne
Comment dit-on 'stupid' (familier) ?|Débile
Comment dit-on 'It went well' ?|Ça s'est bien passé
Comment dit-on 'swamp' ?|Un marais
Comment dit-on 'swampy' ?|Marécageux
Comment dit-on 'mud' ?|De la boue
Comment dit-on 'peat' ?|De la tourbe
Quelle est la différence entre 'un marais' et 'un marécage' ?|Ce sont des synonymes (zone humide)
Règle : 'Je pense que' + quel mode ?|Indicatif
Règle : 'Je ne pense pas que' + quel mode ?|Subjonctif
Règle : 'Je veux que' + quel mode ?|Subjonctif
Comment dit-on 'overrated' ?|Surfait
Qu'est-ce que le 'Prix Goncourt' ?|Un prestigieux prix littéraire français
Comment dit-on 'to make heavier' ?|Alourdir
Comment dit-on 'thermal insulation' ?|L'isolation thermique
Comment dit-on 'attic' ?|Un grenier
Comment dit-on 'rot, decay' ?|La pourriture
Comment dit-on 'coating, covering' ?|Un revêtement
Comment dit-on 'permeable' ?|Perméable
Comment dit-on 'by oneself' ?|Par soi-même / tout seul
Comment dit-on 'switch' ?|Un interrupteur
Comment dit-on 'waffle' ?|Une gaufre
Comment dit-on 'will, willpower' ?|La volonté
Comment dit-on 'We don't like that' ?|Nous n'aimons pas ça
Comment dit-on 'He died before we knew it' ?|Il est mort avant qu'on ne le sache
Comment dit-on 'shall we call each other?' ?|On s'appelle ?
Comment dit-on 'shall we talk?' ?|On se parle ?
Comment dit-on 'conjugation' ?|La conjugaison
Comment dit-on 'learners' ?|Les apprenants
Comment dit-on 'to be able to' ?|Être capable de
Comment dit-on 'damp, moist' ?|Moite
Comment dit-on 'I'm happy to no longer have to do it' ?|Je suis heureux de ne plus avoir à le faire
Comment dit-on 'pipe, hose' ?|Un tuyau
Comment dit-on 'watering can' ?|Un arrosoir
Comment dit-on 'breed/race' ?|Une race
Comment dit-on 'olive green' ?|Vert olive
Comment dit-on 'shell' ?|La coquille
Comment dit-on 'shellfish' ?|Le coquillage
Comment dit-on 'hull' (of a boat) ?|La coque
Comment dit-on 'species' ?|Une espèce
Comment dit-on 'natural predator' ?|Un prédateur naturel
Comment dit-on 'nest' ?|Un nid
Comment dit-on 'to bite' ?|Mordre
Comment dit-on 'they bite you' ?|Elles te mordent
Que signifie 'les salopes' (vulgaire) ?|Terme vulgaire pour des femmes (bitches)
Comment dit-on 'to ramble, repeat oneself' ?|Radoter
Comment dit-on 'to paraphrase' ?|Paraphraser
Que signifie 'à outrance' ?|À l'excès, excessivement
Comment dit-on 'to tone down' (expression) ?|Mettre de l'eau dans son vin
Que signifie 'ça ne me traverse jamais l'esprit' ?|I never think of it, it never crosses my mind
Que signifie 'être premier degré' ?|Être littéral, ne pas comprendre l'humour/l'ironie
Comment forme-t-on le conditionnel présent ?|Base du futur + terminaisons de l'imparfait
Exemple : 'attendre' au conditionnel avec 'nous' ?|Nous attendrions
Comment forme-t-on l'imparfait ?|Base 'nous' du présent + terminaisons (-ais, -ais, -ait, -ions, -iez, -aient)
Exemple : conjuguer 'perdre' à l'imparfait ?|Je perdais, tu perdais, il perdait, nous perdions, vous perdiez, ils perdaient
Qu'est-ce qu'un 'portrait chinois' ?|Un jeu : 'Si vous étiez... vous seriez quoi ?'
Structure du portrait chinois ?|Si vous [verbe à l'imparfait], vous [verbe au conditionnel présent] quoi ?
Comment dit-on 'Please wait' ?|Veuillez patienter
Subjonctif présent de 'vouloir' avec 'que je' ?|Que je veuille
Subjonctif présent de 'pouvoir' avec 'que je' ?|Que je puisse
Comment dit-on 'fire' (incendie) ?|Un incendie
Comment dit-on 'firefighters' ?|Les pompiers
Exemple : 'espérer' au conditionnel avec 'nous' ?|Nous espérerions
Exemple : 'faire' au conditionnel avec 'vous' ?|Vous feriez
Expression : 'what would you... if...' ?|Qu'est-ce que vous feriez si... ?
Exemple : 'savoir' au conditionnel avec 'ils' ?|Ils sauraient
Erreur commune avec possessif : 'un maison à Stéphane' ?|Correct : LA maison à Stéphane
Comment demander 'à qui c'est ?' ?|C'est à qui ?
Réponse : 'C'est à Stéphane' signifie ?|It belongs to Stéphane
Comment dit-on 'harassment' ?|Le harcèlement
Comment dit-on 'green beans' ?|Les haricots verts
Expression familiière : 'je m'en vais au magasin' =|Je vais au magasin
Correction d'erreur de conjugaison : 'je chantes' ?|Correct : je chante
Correction d'erreur de conjugaison : 'tu chante' ?|Correct : tu chantes
Correction d'erreur de conjugaison : 'ils chantai' ?|Correct : ils chantaient
Correction d'erreur de conjugaison : 'il chantai' ?|Correct : il chantait
Expression : 'il y a deux écoles' signifie ?|Il y a deux opinions/approches différentes
Correction : prononcer 'égal' au pluriel ?|Égaux (pas 'égals')
Correction : prononcer 'loyal' au pluriel ?|Loyaux (pas 'loyals')
Comment corriger 'nous aimons pas ça' ?|Nous n'aimons pas ça (ajouter 'ne')
Formation incorrecte : 'si j'aurais su' ?|Correct : si j'avais su (imparfait après 'si')
Erreur anglicisme : 'après que + subjonctif' ?|Correct : après que + indicatif
Comment corriger 'artificial' mal écrit 'artifical' ?|Artificial (avec deux 'i')
Comment corriger 'présompteux' ?|Correct : présomptueux
Règle : mode après 'Je pense que' en phrase affirmative ?|Indicatif
Règle : mode après 'Je ne pense pas que' en phrase négative ?|Subjonctif
Règle : mode après 'Je veux que' ?|Subjonctif (toujours)
Règle : mode après 'Je ne veux que' ?|Subjonctif (toujours)
Formation : base 'nous' du présent pour 'perdre' ?|Nous perdons → base 'perd-'
Terminaisons de l'imparfait ?|-ais, -ais, -ait, -ions, -iez, -aient
Comment dit-on 'T'as-tu compris ?' (québécois) ?|Est-ce que tu as compris ? / Tu as compris ?
Phonologie : différence /y/ et /u/ ?|/y/ = 'u' français, /u/ = 'ou' français
Phonologie : /w/ et /µ/ correspondent à ?|Sons des semi-voyelles
Exemple phonologique : /lyi/ vs /lµi/ ?|'Lui' avec différentes prononciations
Régionalisme breton : 'ouhi' pour ?|Oui
Toponymie : 'Morbihan' contient 'bihan' qui signifie ?|Petit (en breton)
Suffixes participe présent : '-ant' vs ?|'-ant' devient '-iant' dans certains cas
Prononciation anglaise : 'come/cum' et 'son/sun' ?|Exemples d'homophones en anglais
Mot composé : 'institutionalisation' ?|Formation par suffixation multiple
Verbe : '(dé)verrouiller' signifie ?|Ouvrir/fermer avec une clef, unlock/lock
Famille de mots : 'serrurier' → 'serrurerie' ?|Métier → lieu/activité du métier
Correction orthographique : presompteux ?|Présomptueux (avec 'o' et accent)
Usage : 'recevable' avec exemples ?|Une excuse recevable, un argument recevable
Médecine : 'maladie de Charcot' = ?|ALS (sclérose latérale amyotrophique)
Genre : 'les cendres' est ?|Féminin
Verbe médical : 'incinérer' signifie ?|Brûler un corps (crémation)
Psychologie : 'dépressif' vs 'déprimé' ?|Dépressif = qui cause la dépression ; déprimé = qui ressent
Orthographe : pluriel irrégulier 'égal' ?|Égaux (comme 'cheval' → 'chevaux')
Expression professionnelle : 'déformation professionnelle' ?|Habitude liée au métier qui influence le comportement
Orthographe : pluriel irrégulier 'loyal' ?|Loyaux (comme '-al' → '-aux')
Familier : 'boule Quies' → nom générique ?|Bouchons d'oreilles
Familier : 'ventilo' = forme complète ?|Ventilateur
Genre : 'l'odeur' est ?|Féminin
Verbe : 'abîmer' signifie ?|Endommager, détériorer
Expression : 'être en galère' signifie ?|Avoir des problèmes, des difficultés
Argot : 'c'est éclaté au sol' = ?|C'est nul, mauvais
Vulgaire : 'nul à chier' = niveau ?|Très vulgaire, éviter
Animal : 'chauve-souris' composition ?|Chauve (sans poils) + souris
Technique : 'capacité de combinaison' en linguistique ?|Capacité à former des mots composés
Verbe : 'souffler' usages ?|Respirer fort, faire du vent
Expression : 'avoir l'occasion de' = ?|Avoir la possibilité de, pouvoir
Sport : 'arts martiaux' exemples ?|Karaté, judo, kung-fu, etc.
Temps : 'j'en faisais' = quel temps ?|Imparfait (action habituelle passée)
Grammaire : 'que je fasse' = quel mode ?|Subjonctif présent
Grammaire : 'que je fisse' = quel mode ?|Subjonctif imparfait (rare)
Sport : 'nunchaku' origine ?|Arme des arts martiaux (origine asiatique)
Adjectifs : 'raide' vs 'rigide' ?|Synonymes (pas flexible)
Médecine : 'élongation' vs 'claquage' ?|Élongation = étirement ; claquage = déchirure
Médecine : 'courbature' cause ?|Douleur musculaire après effort
Workplace : 'badge' usage ?|Carte d'identité professionnelle
Grammaire : 'malgré que' niveau d'erreur ?|Erreur acceptée mais mieux d'éviter
Grammaire : 'si j'aurais' niveau d'erreur ?|Erreur grave à éviter absolument
Grammaire : 'après que + subjonctif' statut ?|Erreur fréquente mais incorrecte
Adjectif : 'direct' usage ?|Simple, sans détour
Adjectif : 'redondant' signifie ?|Répétitif, superflu
Linguistique : 'gallo' région ?|Bretagne (langue d'oïl)
Familier : 'débile' niveau ?|Familier, équivalent de 'stupid'
Expression : 'ça s'est bien passé' usage ?|Pour raconter un événement positif
Géographie : 'marais' vs 'marécage' ?|Synonymes (zone humide)
Adjectif : 'marécageux' formation ?|Marais + suffixe '-eux'
Matière : 'boue' vs 'tourbe' ?|Boue = terre + eau ; tourbe = matière organique
Grammaire : règle 'je pense que' ?|Phrase affirmative → indicatif
Grammaire : règle 'je ne pense pas que' ?|Phrase négative → subjonctif
Grammaire : règle 'je veux que' ?|Expression de volonté → subjonctif
Culture : 'Prix Goncourt' importance ?|Plus prestigieux prix littéraire français
Verbe : 'alourdir' formation ?|Lourd + suffixe '-ir' (causatif)
Technique : 'isolation thermique' but ?|Conserver la chaleur/fraîcheur
Architecture : 'grenier' emplacement ?|Dernier étage sous le toit
Détérioration : 'pourriture' cause ?|Décomposition par humidité/microbes
Construction : 'revêtement' fonction ?|Protéger et décorer une surface
Propriété : 'perméable' définition ?|Qui laisse passer les liquides
Expression : 'par soi-même' = ?|Sans aide, en autonomie
Objet : 'interrupteur' fonction ?|Allumer/éteindre l'électricité
