Hello|Bonjour
Hello (casual)|Salut
Thank you|Merci
You're welcome|De rein
No problem|Pas de problèm.\\ou\\Aucun problème.
What is your name? (inf.)|Comment t'appeles-tu ?\\ou\\Comment tu t'appeles ?
What is your name? (form.)|Comment vous appelez-vous ?
I am from \dots|Je viens de \dots\\ou\\Je suis de \dots
Where are you from? (inf.)|Tu viens d'où ?\\ou\\D'où est-ce que tu viens ?\\ou\\D'où viens-tu ?
Where are you from? (form.)|Vous venez d'où ?\\ou\\D'où est-ce que vous venez ?\\ou\\D'où venez-vous ?
Where do you live? (inf.)|Où habites-tu ?\\ou\\Où est-ce que tu habites ?\\ou\\Tu habites où ?
Where do you live? (form.)|Où habitez-vous ?\\ou\\Où est-ce que vous habitez ?\\ou\\Vous habitez où ?
What is the date today?|Quel est la date aujourd'hui ?
What is the weather today?|Quel temps fait-il aujourd'hui ?
How do you say \dots?| Comment dit ton \dots\ ?
